UniqueCount	AmbigCount
0	0
0	0
0	4
0	4
1	4
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
2	0
0	0
1	49
0	39
0	44
0	43
1	11
0	4
0	14
0	12
0	1
0	0
0	11
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	46
0	118
10	191
1	52
0	134
11	46
0	115
0	48
4	0
1	270
320	368
0	271
0	131
0	134
1	271
0	152
6	88
0	175
44	379
4	346
0	89
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	434
4	595
9	160
1	417
1	77
0	83
0	506
0	208
0	0
0	1
0	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	9
0	15
8	281
0	11
0	6
0	93
0	253
1	31
0	117
0	1
0	40
0	5
0	14
0	56
1	3
0	60
10	7
0	3
0	4
2	0
0	13
1	0
1	11
0	5
0	5
0	6
0	1
0	1
0	6
0	6
0	0
0	5
0	1
0	0
0	0
0	0
1	0
0	0
0	264
0	0
0	0
0	0
0	0
58	253
0	35
0	0
0	167
0	61
0	15
0	242
0	230
0	1
3	0
2	174
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	34
0	1
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
156	0
0	22
1	22
0	1
0	1
0	16
1	0
0	0
2	2
0	0
0	2
0	1610
2	0
0	0
6	4
0	4
0	0
0	1
0	2
352	46
0	102
5	29
0	3
0	1
0	56
0	2
0	5
4	293
0	293
0	299
0	4
0	220
0	236
0	292
0	7
0	34
0	230
2	33
3	33
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
9	21
0	13
0	22
0	19
0	0
5	21
0	18
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	309
0	129
2	220
0	101
5	207
0	84
3	70
3	2
0	2
17	72
0	4
0	4
0	12
0	2
0	12
0	8
0	3
0	11
0	3
0	5
0	63
0	5
6	1
0	4
0	2
0	6
0	5
0	1
0	2
0	26
1	1
2	2
0	0
0	9
0	0
371	535
0	46
0	57
0	54
0	8
0	370
0	16
0	48
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	1
0	0
0	0
0	0
0	0
1	4
0	0
54	40
0	4
0	9
0	5
0	6
0	6
0	20
0	7
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
